x;Curve10;Curve5;Curve0;Curve0l;Curve5l;Curve10l
67,033;-0,393;-0,4371;-0,3317;-0,1312;0,0201;0,0885
67,873;-0,3773;-0,4174;-0,3158;-0,1277;0,0228;0,0885
69,235;-0,3596;-0,3894;-0,2925;-0,1212;0,0274;0,0888
69,544;-0,3554;-0,3842;-0,2879;-0,1196;0,0285;0,0889
70,28;-0,3448;-0,3736;-0,2779;-0,1155;0,0312;0,0892
71,746;-0,3324;-0,3569;-0,2585;-0,1069;0,0366;0,09
71,951;-0,3307;-0,3548;-0,2553;-0,1057;0,0374;0,0902
72,792;-0,3236;-0,3459;-0,2414;-0,1004;0,0406;0,0907
74,462;-0,3021;-0,3246;-0,2229;-0,0894;0,047;0,092
74,467;-0,3021;-0,3246;-0,2228;-0,0894;0,047;0,092
74,762;-0,2983;-0,32;-0,2225;-0,0874;0,0482;0,0922
75,303;-0,2911;-0,3111;-0,2242;-0,0838;0,0502;0,0926
75,597;-0,289;-0,3062;-0,2259;-0,0818;0,0514;0,0929
77,08;-0,2767;-0,2835;-0,2356;-0,0716;0,0571;0,0941
77,292;-0,2749;-0,281;-0,2362;-0,0701;0,0579;0,0942
77,805;-0,2701;-0,2762;-0,2361;-0,0666;0,0598;0,0946
77,815;-0,27;-0,2761;-0,236;-0,0665;0,0598;0,0946
79,488;-0,2705;-0,271;-0,2257;-0,0549;0,066;0,0958
79,7;-0,2708;-0,271;-0,224;-0,0535;0,0668;0,0959
79,805;-0,2711;-0,271;-0,2231;-0,0528;0,0672;0,096
80,748;-0,2829;-0,27;-0,2168;-0,0464;0,0705;0,0965
